Docket_ID,File Name_petition,Date of Petition,Identity of Submitting Entity,Requested Action,File Name_response,Date of Response,Responding FDA Center,Response to Petition,Response_Category,Response_Days
FDA-2011-P-0081,FDA-2011-P-0081-0001_Armenpharm__Ltd____Citizen_Petition.pdf,2011-02-07,"Armenpharm, Ltd.","Relist ANDA 060851 for Chloramphenicol Capsules USP, 250 mg and declare that it was withdrawn from sale for reasons other than safety or effectiveness",FDA-2011-P-0081-0021_Armenpharm__Ltd___Suspension_of_Approval_of_an_Abb.pdf,2016-09-21,CDER,other: Suspension of Approval and Determination,approved,2053.0
FDA-2011-P-0115,FDA-2011-P-0115-0001_Cypress_Pharmaceutical__Inc____Citizen_Petition.pdf,2011-02-24,"Cypress Pharmaceutical, Inc.","Declare Calcium Acetate Oral Solution, 667 mg/5 mL, suitable for submission as an ANDA",FDA-2011-P-0115-0005_Cypress_Pharmaceutical__Inc____Withdrawal.pdf,2011-07-08,Not Mentioned,withdrawn,withdrawn,134.0
FDA-2011-P-0150,FDA-2011-P-0150-0001_SureTek_Medical___Citizen_Petition.pdf,2011-03-07,SureTek Medical,Issue an immediate determination of not substantially equivalent to any manufacturer that failed to provide a supplemental validation submission by the published deadline and delete these 510(k)'s from the FDA database.,FDA-2011-P-0150-0003_Interim_Response_to_SureTek_Medical___Letter.pdf,2011-08-24,CDRH,other: interim response,interim,170.0
FDA-2011-P-0150,FDA-2011-P-0150-0001_SureTek_Medical___Citizen_Petition.pdf,2011-03-07,SureTek Medical,Issue an immediate determination of not substantially equivalent to any manufacturer that failed to provide a supplemental validation submission by the published deadline and delete these 510(k)'s from the FDA database.,FDA-2011-P-0150-0004_Final_Response_from_FDA_CDRH_to_SureTek_Medical.pdf,2020-01-24,CDRH,denied,denied,3245.0
FDA-2011-P-0173,FDA-2011-P-0173-0001_Hospira__Inc____Citizen_Petition.pdf,2011-03-17,"Hospira, Inc.",Designate Sanofi-Aventis ANDA 062659 as an RLD for purposes of submitting an Abbreviated New Drug Application (ANDA),FDA-2011-P-0173-0003_Interim_Response_to_Hospira__Inc_.pdf,2011-09-14,CDER,other: interim response,interim,181.0
FDA-2011-P-0173,FDA-2011-P-0173-0001_Hospira__Inc____Citizen_Petition.pdf,2011-03-17,"Hospira, Inc.",Designate Sanofi-Aventis ANDA 062659 as an RLD for purposes of submitting an Abbreviated New Drug Application (ANDA),FDA-2011-P-0173-0004_FDA_CDER_to_Hospira__Inc____Petiton_Approval.pdf,2012-03-02,CDER,approved,approved,351.0
FDA-2011-P-0213,FDA-2011-P-0213-0017_FDA_OC_to_CSL_Behring__Petition_Part_Approval_and_.pdf,2011-03-28,CSL Behring,Rescind orphan-drug designation and exclusivity from Wilate; refrain from making orphan-drug designations based on hypothetical improvements in safety without demonstrated head-to-head comparative clinical evidence,FDA-2011-P-0213-0014_Interim_Response_to_CSL_Behring___Letter.pdf,2011-09-23,OOD,other: interim response,interim,179.0
FDA-2011-P-0213,FDA-2011-P-0213-0001_CSL_Behring___Citizen_Petition.pdf,2011-03-25,CSL Behring,"Revoke orphan drug designation and marketing exclusivity given to OctaPharma USA, Inc. for its drug product, Wilate®, and refrain from making any orphan drug designations based on hypothetical claims of superiority.",FDA-2011-P-0213-0014_Interim_Response_to_CSL_Behring___Letter.pdf,2011-09-23,OOD,other: interim response,interim,182.0
FDA-2011-P-0226,FDA-2011-P-0226-0001_Hyman__Phelps___McNamara__P_C____Citizen_Petition.pdf,2011-03-30,"Hyman, Phelps &amp; McNamara, P.C.",Designate International Medication Systems' Phytonadione Injection as a second RLD for purposes of submitting an ANDA,FDA-2011-P-0226-0003_Interim_Response_to_Hyman__Phelps___McNamara__P_C_.pdf,2011-09-01,CDER,other: interim response provided due to other priorities,interim,155.0
FDA-2011-P-0226,FDA-2011-P-0226-0001_Hyman__Phelps___McNamara__P_C____Citizen_Petition.pdf,2011-03-30,"Hyman, Phelps &amp; McNamara, P.C.",Designate International Medication Systems' Phytonadione Injection as a second RLD for purposes of submitting an ANDA,FDA-2011-P-0226-0004_FDA_CDER_response_to_Hyman__Phelps___McNamara__P_C.pdf,2012-02-22,CDER,approved,approved,329.0
FDA-2011-P-0291,FDA-2011-P-0291-0001_Actavis_Inc____Citizen_Petition.pdf,2011-04-20,Actavis Inc.,"Determine that JENLOGA® (clonidine hydrochloride) Extended-Release Tablets, 0.1 mg and 0.2 mg were not voluntarily withdrawn for safety or efficacy reasons.",FDA-2011-P-0291-0003_Interim_Response_to_Actavis_Inc____Letter.pdf,2011-10-17,CDER,other: interim response provided due to other priorities,interim,180.0
FDA-2011-P-0292,FDA-2011-P-0292-0001_Actavis_Inc____Citizen_Petition.pdf,2011-04-19,Actavis Inc.,"Determine that KAPVAY® (clonidine hydrochloride) Extended-Release Tablets, 0.2 mg were not voluntarily withdrawn for safety or efficacy reasons.",FDA-2011-P-0292-0003_Interim_Response_to_Actavis_Inc____Letter.pdf,2011-10-17,CDER,other: interim response provided due to other Agency priorities,interim,181.0
FDA-2011-P-0355,FDA-2011-P-0355-0001_MELA_Sciences_Inc_Citizen_Petition.pdf,2011-05-09,"MELA Sciences, Inc.",Enforce the binding Protocol Agreement and ensure fair review of the MelaFind PMA,FDA-2011-P-0355-0020_Mela_Sciences_Inc__Withdrawal.pdf,2011-11-02,Not Mentioned,withdrawn,withdrawn,177.0
FDA-2011-P-0355,FDA-2011-P-0355-0001_MELA_Sciences_Inc_Citizen_Petition.pdf,2011-05-09,"MELA Sciences, Inc.",Enforce the binding Protocol Agreement and ensure fair review of the MelaFind PMA,FDA-2011-P-0355-0021_FDA_CDRH_to_Mela_Science_Inc__Response_Letter.pdf,2011-11-03,CDRH,withdrawn,withdrawn,178.0
FDA-2011-P-0356,FDA-2011-P-0356-0027_Citizen_Petition_Final_Response_from_FDA_CTP_to_Ce.pdf,2011-05-11,"Center for Tobacco Regulation, Litigation and Advocacy, Maryland Department of Health and Mental Hygiene, Maryland Association of County Health Officers, Maryland Delegate Samuel Rosenberg, Maryland Resource Center for Quitting Use and Initiation of Tobacco, American Heart Association Mid-Atlantic Affiliate, University of Maryland-College Park Colleges Against Cancer, Maryland Group Against Smoking Pollution, Baltimore County Tobacco-Free Community Coalition, Lee Bone, Adam Milam, Soula Lambropoulos, Marlene Spruiel, Michael Dark",Initiate a rulemaking proceeding to assert jurisdiction over cigars and subject them to sales and distribution regulations similar to those for cigarettes and smokeless tobacco,FDA-2011-P-0356-0023_FDA_CTP_Interim_Response_to_the_Center_for_Tobacco.pdf,2011-10-25,CTP,other: interim response provided in accordance with FDA regulations on citizen petitions (21 CFR 10.30(e)(2)),interim,167.0
FDA-2011-P-0448,FDA-2011-P-0448-0004_Citizen_Petition_Denial_Response_from_FDA_CVM_to_E.pdf,2011-05-25,"Ocean Conservancy, Friends of the Earth, Center for Food Safety, Food & Water Watch, Center for International Environmental Law, and Greenpeace",Refrain from taking final action on ABT's application until FDA has completed a comprehensive environmental impact statement and amend its regulatory framework to provide greater environmental protection,FDA-2011-P-0448-0003_FDA_CVM_Interim_Response_to_Earthjustice_November_.pdf,2011-11-21,CVM,other: tentative response pending final analysis,interim,180.0
FDA-2011-P-0450,FDA-2011-P-0450-0001_MSMB_Capital_Management_LLC___Citizen_Petition.pdf,2011-06-11,MSMB Capital Management LLC,Refrain from approving and considering approval of investigational radioactive sentinel lymph node detection agents without accompanying data from successful controlled trials compared against the standard of care,FDA-2011-P-0450-0004_Interim_Response_to_MSMB_Capital_Management_LLC___.pdf,2011-12-06,CDER,other: interim response,interim,178.0
FDA-2011-P-0450,FDA-2011-P-0450-0005_FDA_CDER_to_MSMB_Capital_Management_LLC__Petition_.pdf,2011-06-02,MSMB Capital Management LLC,Refrain from approving and considering approval of investigational radioactive sentinel lymph node detection agents without accompanying data from controlled trials compared to the standard of care,FDA-2011-P-0450-0004_Interim_Response_to_MSMB_Capital_Management_LLC___.pdf,2011-12-06,CDER,other: interim response,interim,187.0
FDA-2011-P-0460,FDA-2011-P-0460-0001_Citizen_Petition_from_Lachman_Consultant_Services_.pdf,2011-06-07,"Lachman Consultant Services, Inc.",Determine whether Sanofi Aventis discontinued marketing of Talwin Compound for reasons of safety or effectiveness,FDA-2011-P-0460-0004_Response_Letter_from_FDA_CDER_to_Lachman_Consultan.pdf,2011-08-25,CDER,approved,approved,79.0
FDA-2011-P-0479,FDA-2011-P-0479-0004_Citizen_Petition_Denial_Response_Letter_from_FDA_C.pdf,2011-06-14,"Dr. S. Albert Edwards, PharmD, RAC, FRAPS (individual petitioner)",Initiate a process to reclassify annuloplasty rings from class II to class III,FDA-2011-P-0479-0003_Interim_Response_Letter_from_FDA_CDRH_to_Dr__S__Al.pdf,2011-12-02,CDRH,other: interim response,interim,171.0
FDA-2011-P-0479,FDA-2011-P-0479-0001_Citizen_Petition_from_Dr__S__Albert_Edwards_Redact.pdf,2011-06-06,"Dr. S. Albert Edwards, PharmD, RAC, FRAPS (individual petitioner)","[""Investigate the basis for the Class II decision on annuloplasty rings and reclassify these rings to Class III, PMA approval scheme."", ""Assess the rising death reports with annuloplasty rings using manufacturers' annual sales data."", ""Reclassify annuloplasty rings to Class III.""]",FDA-2011-P-0479-0003_Interim_Response_Letter_from_FDA_CDRH_to_Dr__S__Al.pdf,2011-12-02,CDRH,other: interim response,interim,179.0
FDA-2011-P-0482,FDA-2011-P-0482-0001_Novo_Nordisk__Inc____Citizen_Petition.pdf,2011-06-17,Novo Nordisk Inc.,Refrain from approving any ANDA for either strength of Vagifem unless or until the applicant provides data from well-controlled multiple endpoint clinical trials and include information about the availability of and recommendation to begin treatment on the 10 mcg dosage strength,FDA-2011-P-0482-0003_FDA_CDER_Interim_Response_to_Novo_Nordisk_Inc.pdf,2011-12-09,CDER,other: interim response provided due to other priorities,interim,175.0
FDA-2011-P-0482,FDA-2011-P-0482-0005_FDA_CDER_to_Novo_Nordisk_Inc___Citizen_Petition_Pa.pdf,2009-02-18,Novo Nordisk Inc.,"Require ANDAs to contain data from adequate and well-controlled, multiple-endpoint clinical studies demonstrating equivalent safety and therapeutic effect; PK data showing comparable systemic estradiol blood levels; and labeling recommendations for the lowest effective dose",FDA-2011-P-0482-0003_FDA_CDER_Interim_Response_to_Novo_Nordisk_Inc.pdf,2011-12-09,CDER,other: interim response provided due to other priorities,interim,1024.0
FDA-2011-P-0488,FDA-2011-P-0488-0001_Sandoz__Inc____Citizen_Petition.pdf,2011-06-21,Sandoz Inc.,Determination that Taxotere was not withdrawn for safety or effectiveness reasons to allow ANDA submissions,FDA-2011-P-0488-0004_FDA_CDER_to_Sandoz__Inc____Response_Letter.pdf,2011-11-22,CDER,approved,approved,154.0
FDA-2011-P-0512,FDA-2011-P-0512-0011_Petition_to_Stay_and_for_Reconsideration.pdf,2017-02-08,"Medical Information Working Group (MIWG), the Pharmaceutical Research and Manufacturers of America (PhRMA), and the Biotechnology Innovation Organization (BIO)",Indefinitely stay the Final Rule and reconsider the Final Rule,FDA-2011-P-0512-0014_Kalb_et_al_IU_Final_Rule_Response_3_26_18.pdf,2018-03-26,Not Mentioned,partially approved,partially approved,411.0
FDA-2011-P-0512,FDA-2011-P-0512-0009_Citizen_Petition_Approval_Response_from_FDA_CDER_t.pdf,2013-09-03,"Medical Information Working Group (MIWG) on behalf of multiple pharmaceutical companies including Pfizer, Inc.","Clarify regulations and policies regarding manufacturer communications, including responses to unsolicited requests, scientific exchange, interactions with formulary committees, payors, dissemination of third-party clinical practice guidelines, and health care economic information.",FDA-2011-P-0512-0014_Kalb_et_al_IU_Final_Rule_Response_3_26_18.pdf,2018-03-26,Not Mentioned,partially approved,partially approved,1665.0
FDA-2011-P-0515,FDA-2011-P-0515-0004_Petitions_Response_to_Pharmacists_Planning_Service.pdf,2011-07-06,"Pharmacists Planning Service, Inc.",Remove PSE from the market immediately,FDA-2011-P-0515-0003_Interim_Response_to_Pharmacists_Planning_Service__.pdf,2011-12-29,CDER,other: interim response provided,interim,176.0
FDA-2011-P-0580,FDA-2011-P-0580-0001_Charles_Watson___Citizen_Petition__Redacted_.pdf,2011-05-19,Charles Watson (individual petitioner),Explore feasibility of conducting a postmarketing clinical trial involving New York State prisoners who suffer from Hepatitis C,FDA-2011-P-0580-0005_FDA_CDER_Response_to_Charles_Watson_Partial_Petiti.pdf,2012-11-02,CDER,partially approved,partially approved,533.0
FDA-2011-P-0590,FDA-2011-P-0590-0001_Kim_Witczak_and_William_Vaughn___Citizen_Petition_.pdf,2011-08-05,Kim Witczak and William Vaughan (individual petitioners),Implement a pilot program to actively involve patients in the reporting of adverse drug and device events using e-mail and smartphone technologies,FDA-2011-P-0590-0003_Interim_Response_to_Kim_Witczak_and_William_Vaughn.pdf,2012-02-05,Not Mentioned,other: [petition not yet resolved],other,184.0
FDA-2011-P-0596,FDA-2011-P-0596-0010_Dr_Richard_M_Fleming_Petition_for_Reconsideration_.pdf,2012-09-14,Dr. Richard M. Fleming (individual petitioner),Reconsideration and action on the petition regarding product labeling changes for Myoview and Sestamibi isotopes,FDA-2011-P-0596-0015_Interim_Response_to_Dr_Richard_M__Fleming__Letter.pdf,2013-04-02,CDER,other: pending decision due to other priorities,interim,200.0
FDA-2011-P-0606,FDA-2011-P-0606-0001_Actavis__Inc__Citizen_Petition.pdf,2011-08-17,Actavis Inc.,"Designate Veltin® (clindamycin phosphate and tretinoin) Topical Gel, NDA 50803, as a second RLD for purposes of submitting an ANDA",FDA-2011-P-0606-0004_Interim_Response_to_Actavis__Inc____Letter.pdf,2012-02-15,CDER,other: interim response provided due to other priorities,interim,182.0
FDA-2011-P-0637,FDA-2011-P-0637-0001_Alliance_for_Natural_Health_USA___Citizen_Petition.pdf,2011-08-11,Alliance for Natural Health USA,"Expand black box warnings on SSRI medication labels to include risk of violence towards others, both for humans and animals",FDA-2011-P-0637-0003_FDA_CDER_Interim_Response_to_Alliance_for_Natural_.pdf,2012-02-22,CDER,other: interim response provided,interim,195.0
FDA-2011-P-0637,FDA-2011-P-0637-0001_Alliance_for_Natural_Health_USA___Citizen_Petition.pdf,2011-08-11,Alliance for Natural Health USA,"Expand black box warnings on SSRI medication labels to include risk of violence towards others, both for humans and animals",FDA-2011-P-0637-0004_Response_Letter_to_Alliance_for_Natural_Health_fro.pdf,2019-08-26,"CDER, CVM",denied,denied,2937.0
FDA-2011-P-0641,FDA-2011-P-0641-0007_Citizen_Petition_Denial_Response_from_FDA_CDRH_to_.pdf,2011-08-25,Public Citizen's Health Research Group,"[""Ban the marketing of all currently available non-absorbable surgical mesh products specifically designed and labeled for transvaginal repair of POP"", ""Order manufacturers to recall these devices"", ""Classify new non-absorbable surgical mesh product for transvaginal repair of POP as class III devices and approve them only under a premarket approval application (PMA)""]",FDA-2011-P-0641-0005_FDA_CDRH_Interim_Response_to_Public_Citizen_Health.pdf,2012-02-10,CDRH,other: interim response,interim,169.0
FDA-2011-P-0646,FDA-2011-P-0646-0008_Amended_Citizen_Petition_from_City_of_Philadelphia.pdf,2015-09-08,City of Philadelphia Department of Public Health,Exempt Philadelphia Ordinance 080167-A from preemption to require sodium values on menus,FDA-2011-P-0646-0031_Interim_Response_Letter_from_FDA_CFSAN_to_Deparmen.pdf,2015-12-03,CFSAN,"other: tentative response, further evaluation pending",interim,86.0
FDA-2011-P-0657,FDA-2011-P-0657-0001_Citizen_Petition_from_the_National_Organization_fo.pdf,2011-09-02,National Organization for Rare Disorders (NORD),"Include specific topics in the guidance document regarding clinical trials and FDA review of marketing applications for orphan drugs, and mandate training for reviewers",FDA-2011-P-0657-0003_Interim_Response_Letter_from_FDA_CDER_to_National_.pdf,2012-03-07,CDER,other: interim response provided due to other Agency priorities,interim,187.0
FDA-2011-P-0657,FDA-2011-P-0657-0004_Citizen_Petition_Partial_Approval_and_Denial_Respo.pdf,2011-09-02,National Organization for Rare Disorders (NORD),"Issue guidance that acknowledges differences in clinical trials and FDA review processes for orphan drugs compared to common conditions, provide special flexibility in regulatory review, and make training course mandatory for reviewers",FDA-2011-P-0657-0003_Interim_Response_Letter_from_FDA_CDER_to_National_.pdf,2012-03-07,CDER,other: interim response provided due to other Agency priorities,interim,187.0
FDA-2011-P-0660,FDA-2011-P-0660-0001_RegulatoryPro_com___Citizen_Petition.pdf,2011-08-31,RegulatoryPro.com,Complete the reclassification process from Class III to Class II and issue a final Special Control Guidance Document,FDA-2011-P-0660-0003_FDA_CDRH_interim_response_to_RegulatorPro_com.pdf,2012-02-07,CDRH,other: interim response,interim,160.0
FDA-2011-P-0717,FDA-2011-P-0717-0001_Cooley_LLP___Citizen_Petition.pdf,2011-09-29,Cooley (Law Firm),Refrain from approving NDAs or require boxed warning if approved,FDA-2011-P-0717-0003_Interim_Response_to_Cooley_LLP___Letter.pdf,2012-03-07,CDER,other: interim response,interim,160.0
FDA-2011-P-0717,FDA-2011-P-0717-0004_FDA_CDER_to_Cooley_LLP_Petition_Partial_Appoval_an.pdf,2011-09-29,Ferring Pharmaceuticals Inc.,"Refrain from approving any NDA containing sodium picosulfate, magnesium oxide, and citric acid for bowel cleansing or require a boxed warning if approval is granted",FDA-2011-P-0717-0003_Interim_Response_to_Cooley_LLP___Letter.pdf,2012-03-07,CDER,other: interim response,interim,160.0
FDA-2011-P-0727,FDA-2011-P-0727-0005_FDA_CDER_to_12TH_Man_Technologies_Petition_Denial.pdf,2011-10-06,Man Technologies,Revoke the grant of pediatric exclusivity for INOMax,FDA-2011-P-0727-0004_Interim_Response_to_12TH_Man_Technologies___Letter.pdf,2012-04-07,CDER,other: interim response provided,interim,184.0
FDA-2011-P-0727,FDA-2011-P-0727-0001_12TH_Man_Technologies___Citizen_Petition.pdf,2011-10-04,Twelfth Man Technologies LLC,Revoke the pediatric exclusivity grant to INO Therapeutics,FDA-2011-P-0727-0004_Interim_Response_to_12TH_Man_Technologies___Letter.pdf,2012-04-07,CDER,other: interim response provided,interim,186.0
FDA-2011-P-0741,FDA-2011-P-0741-0006_Partial_Petition_Approval_and_Denial_Response_Lett.pdf,2011-10-11,Public Citizen,"Add boxed warnings and other safety information to the labels of all PPI products, require distribution of Medication Guides, and send Dear Doctor letters",FDA-2011-P-0741-0003_Interim_Response_to_Public_Citizens_Health_Researc.pdf,2012-04-03,CDER,other: interim response,interim,175.0
FDA-2011-P-0798,FDA-2011-P-0798-0001_Dr_S_Albert_Edwards__Citizen_Petition.pdf,2011-10-27,Solutions Inc,"Institute periodic meetings staffed by FDA's OBPS and Global Submit, Inc., providing current information on the transition from eCTD to RPS, announced through Federal Register",FDA-2011-P-0798-0004_FDA_CDER_Interim_Response_to_Dr_S_Albert_Edwards_L.pdf,2013-08-04,CDER,other: interim response provided due to other Agency priorities,interim,647.0
FDA-2011-P-0798,FDA-2011-P-0798-0001_Dr_S_Albert_Edwards__Citizen_Petition.pdf,2011-10-27,Solutions Inc,"Institute periodic meetings staffed by FDA's OBPS and Global Submit, Inc., providing current information on the transition from eCTD to RPS, announced through Federal Register",FDA-2011-P-0798-0005_Withdrawal_Letter_from_Dr__S__Albert_Edwards_Redac.pdf,2020-01-27,Not Mentioned,withdrawn,withdrawn,3014.0
FDA-2011-P-0820,FDA-2011-P-0820-0001_G_Scott_Crowther_PE_Citizen_Petition.pdf,2011-11-08,"G. Scott Crowther, PE",Ban the dental amalgam and its constituents (mercury and amalgam alloy),FDA-2011-P-0820-0003_FDA_CDRH_Interim_Response_to_G_Scott_Crowther_PE_L.pdf,2014-05-07,CDRH,other: interim response,interim,911.0
FDA-2011-P-0821,FDA-2011-P-0821-0001_Lachman_Consultant_Services_Inc_Citizen_Petition.pdf,2011-11-10,"Spectrum Pharmaceuticals, Inc.","Declare that Levoleucovorin Calcium Injection, 10 mg/mL (50 mg/5 mL) is suitable for submission as an ANDA",FDA-2011-P-0821-0005_Final_Response_Letter_from_FDA_CDER_to_Lachman_Con.pdf,2014-11-14,CDER,approved,approved,1100.0
FDA-2011-P-0823,FDA-2011-P-0823-0001_AstraZeneca_Pharmaceuticals_LP__Citizen_Petition.pdf,2011-11-14,AstraZeneca Pharmaceuticals LP,Not approve any rosuvastatin calcium ANDA or 505(b)(2) application if the proposed labeling omits diabetes related warning and adverse reaction information based on JUPITER trial data,FDA-2011-P-0823-0003_FDA_CDER_Response_to_AstraZeneca_Pharmaceuticals_L.pdf,2012-05-14,CDER,denied,denied,182.0
FDA-2011-P-0852,FDA-2011-P-0852-0004_FDA_CDER_Response_to_Dr_S_Albert_Edwards_Petition_.pdf,2011-11-21,"Dr. S. Albert Edwards, PharmD, RAC, FRAPS (individual petitioner)",Cease issuing NDCs for unapproved drugs and impose sanctions on protesting firms,FDA-2011-P-0852-0003_FDA_CDER_Interim_Response_to_Dr__S_Albert_Edwards_.pdf,2012-05-18,CDER,other: interim response provided due to other priorities,interim,179.0
FDA-2011-P-0852,FDA-2011-P-0852-0001_Dr_S_Albert_Edwards___Citizen_Petition.pdf,2011-11-17,The undersigned (individual petitioner),"Stop issuing NDC Codes to new and existing unapproved drug products, with a phased approach over three years",FDA-2011-P-0852-0003_FDA_CDER_Interim_Response_to_Dr__S_Albert_Edwards_.pdf,2012-05-18,CDER,other: interim response provided due to other priorities,interim,183.0
FDA-2011-P-0869,FDA-2011-P-0869-0001_Hyman_Phelps_and_McNamara_PC__Citizen_Petition.pdf,2011-12-02,"Hyman, Phelps & McNamara, P.C.",Refuse to file or approve any 505(b)(2) NDA for a buprenorphine/naloxone drug product unless it references the sublingual film formulation in NDA #22-410 and demonstrates appropriate limits on genotoxic impurities,FDA-2011-P-0869-0004_FDA_CDER_Interim_Response_to_Hyman_Phelps_and_McNa.pdf,2012-05-30,CDER,other: interim response provided,interim,180.0
FDA-2011-P-0869,FDA-2011-P-0869-0001_Hyman_Phelps_and_McNamara_PC__Citizen_Petition.pdf,2011-12-02,"Hyman, Phelps & McNamara, P.C.",Refuse to file or approve any 505(b)(2) NDA for a buprenorphine/naloxone drug product unless it references the sublingual film formulation in NDA #22-410 and demonstrates appropriate limits on genotoxic impurities,FDA-2011-P-0869-0006_FDA_CDER_Response_to_Hyman_Phelps_and_McNamara_P_C.pdf,2018-09-01,CDER,partially approved,partially approved,2465.0
